sentence1,sentence2,匹配度,是否匹配,真实标签
找一部小时候的动画片,求一部小时候的动画片。谢了,0.9817,1,1
我不可能是一个有鉴赏能力的行家，小姐我把我的时间都花在书写上；象这样豪华的舞会，我还是头一次见到。,蜡烛没熄就好了，夜黑得瘆人，情绪压抑。,0.0,0,0
胡子长得太快怎么办？,胡子长得快怎么办？,0.977,1,1
有时，当空气所含的水蒸气已经饱和，拉托娜的女儿的光线被它留住而形成一个光环时，我们看到她就像这样被这个光环围绕着。,木栅在波涛的冲击下猛烈地震动着。,0.1576,0,0
人家真要以为他们生平只看见过他这一个黑人呢。,而且，当然，如果只有流血对他们才有帮助，他们是不会望而却步，停止流血的有的时候他们屠杀的全然是无辜的人，为保卫古老的法律而英勇牺牲了。,0.1668,0,0
在香港哪里买手表好,香港买手表哪里好,0.9843,1,1
显然，她急于要向他说这么一句话。,她像石像似的坐在那里，面色错黄、苍白，嘴唇紧抿着——什么都不吃。,0.0426,0,0
邓蒂斯仔细看了一番，然后又四面瞧来瞧去，寻找那件把它修削成这样整齐的形式的工具。,三天以后，四个火枪手回到巴黎。,0.0511,0,0
别急呀，我的朋友。,你一定要看我一下。,0.0125,0,0
全职妈妈在家怎么赚钱？,全职妈妈在家上网做什么工作赚钱,0.9785,1,1
她是一个非常慷慨的女人，拥有自己的一大笔财产。,她有很多钱，但她是个慷慨的女人。,0.6854,1,1
嗯，我们注意到的另一件事，呃，随着时间的推移，呃，我们真的不知道我们到底要做什么，我们想公开地做什么，但是，呃，教导，呃，所教的思想，呃，并不总是与我们从道德的角度或者从如何处理给定的情况的角度来告诉,我们同意学校所教的一切。,0.1813,0,0
因此，“条例”要求高级行政人员的业绩计划和评估包含对雇员的业绩期望。,高级管理人员的绩效计划允许员工在工作场所饮酒。,0.1292,0,0
一个从酒吧里倒过来的小男孩。,一个小男孩正在爬篱笆。,0.0654,0,0
明天多少度啊,明天气温多少度啊,0.9538,1,1
人类的机关不可能十全十美。,胡赛太太飞快地冲了出来，一手拿着芥末罐，一手拿着醋瓶子。,0.0,0,0
咳，您昨天可把我们害苦了，来人中的一个说，闹了整整一夜，不让人睡觉。,哦，你昨天真把我们弄苦了，进来的两个人中间的一个说，你害得我们整整一夜没有睡。,0.9761,1,1
什么是思路清晰,学什么让自己思路清晰？,0.0,0,0
他愤怒地看看血，接着把一条手巾浸湿，抹去了鬓角上的血迹。,血已经快干了，弄脏了他的手心；他恶狠狠地望了望血迹，然后浸湿了一条毛巾，擦去了太阳穴上的血。,0.222,0,1
医助慌忙说。请吧，大人。,咱们走吧，大人。,0.0,0,1
那时候，这个该死的小市民一直在我屋里隔板的另一边坐着，您想象得到吗？,如同在酷暑天的猛烈的阳光下从篱笆到篱笆穿行的蜥蜴在越过道路时显得像一道闪电，就像这样，一条像胡椒末一样青黑色的小蛇，怒冲冲的，向着另外两个幽灵的肚子窜去。,0.0096,0,0
一个男人拿着滑板跳过了红色的交通屏障。,一个人骑着溜冰鞋从公园的长凳上跳了过去。,0.2987,0,0
一个裹着一只手跟在大车后面走的老伤兵，用没有受伤的手抓住车子，回头看了皮埃尔一眼。,我呢，心里不痛快，睡不着觉，就着手打听。,0.0033,0,0
写过几封信，匆匆用过午餐之后，他就一直往卡里金家去。,别胡闹啦！搬来和我一起住吧！,0.0929,0,0
娜塔莎坚决地说。,对，对，对，娜塔莎高兴地说。,0.4363,1,1
我要他把牛的角镀一镀金，但他说时间来不及了，镀金得要两天，所以你看，这一点奢侈的小装饰我们只能放弃了。,当初，他们是加害于他，而他只是不希望他们好而已。,0.0276,0,0
如何在微信上推广自己的产品？,如何利用微信推广产品,0.983,1,1
"程先生泡好茶走出去,见蒋丽莉正在房间里来回踱步,双手背在身后,步子有些像男人似的",程先生在屋子里,0.0,0,1
夫人啊，小厮说，您是一位非常非常高贵的总督的非常高贵的妻子，不信的话，就请您接封信和这件礼物。,您就是最尊贵的总督的最尊贵夫人，侍童说，为了证明我说的是真的，请您接受这封信和这份礼物。,0.0937,0,1
男人用户外淋浴。,一个男人正在他的浴室里洗澡。,0.5021,1,0
我不知道怎么才能去到那里。,磨坊主妇拿出牛奶、鸡蛋、马铃薯、面包来给我们。,0.0,0,0
这三个男孩正试图搬些木头。,三个孩子拿着木头。,0.5438,1,1
他认为束缚愈迟愈好，迟点仿佛青春时期就延长了。,当我冋到外祖父家的时候，岵亲』坐在桌旁，穿:十十净净的缉青色的连衣裙，头发梳得很好看，像从前样仪态万方。,0.1201,0,0
他的母亲吃惊地瞪着他，问道:保尔，你在跟谁说话？,那么，随你爱我还是恨我，我最后说，你得到了我的完全的、自动的宽恕；现在请求上帝的宽恕；安心吧。,0.0197,0,0
在狗的眼睛里世界是什么颜色的,在狗的眼睛里世界是什么颜色的？,0.9842,1,1
页面这年头现钱最吃香，咱们也得学着点，该牺牲的地方就得牺牲。,眼下现钱是最宝贵的，应该作出牺牲。,0.0481,0,1
其他人说，1956年苏伊士危机时发出了一项测试预警设备的命令，但从未从账簿上取下。,没有命令测试警告设备。,0.2515,0,0
这艘头重脚轻的大船就象个装着满脑袋亚里士多德学说的枵腹的学者。,她抓住他的手，吻了起来。,0.0,0,0
因为除了捕鲸的航程很长之外，还有许多东西是从事渔业所不可缺少的，有许多东西往往是在偏僻的海港无法补给的，还必须记住，在一切船只中，捕鲸船是最会招致各种意外的船只，尤其是会丧失。,既然是充满神秘和迷信的色彩，说明在它的身上还存有许多不可了解的秘密，这些秘密在追捕的人看来，都是无法理解的。,0.2434,0,1
在我的脑海里，有一个玫瑰式的天空，一个红花绿草的伊甸园；但在外面，我完全意识到，脚下有一条坎坷的路要走，有着渐渐聚拢的黑色风暴要面对。,倒不是他有什么偏见，而是他很想知道。,0.0741,0,0
瞧这些畜生，抢了多少东西这个人后面，在大车上要知道这是从圣像上扯下来的，真的！,二十三年前还可以在奥代罗门的一块石头上看到一段译不出来的碑文；这段法律条文的措辞确实太不合适，可是对于儿童贩子和拐儿童的人却划分得很清楚。,0.0,0,0
在苏联的援助下，启动了一个重建方案，在绘画、照片和建筑图纸的基础上，重建华沙和格但斯克等老城，付出了昂贵而细致的努力。,Gdansk被认为是完全损失，没有重建。,0.0804,0,0
很多人都在上运动课，骑自行车。,人们正在使用运动机器。,0.1502,0,1
——世界上并不是个个人都有钱！,――世界上并不是个个人都有钱！,0.9717,1,1
把你的衣服给我，斯佳丽。,那么您可以知道，她说，我将是您的。,0.0,0,0
害怕，她说着，不出声地哭了。,我想，这样重要的商谈，应该由双方的父亲出面才行。,0.005,0,0
阿克里最好的住处，有海滩和乡村俱乐部的设施。,这是阿克里最好的住处，有海滩和乡村俱乐部可供使用。,0.9554,1,1
你猜我最爱谁,我最爱的是谁你猜一下,0.987,1,1
如果他再说一声他们，斯佳丽就会大叫起来。,难道你不知道博士的为人吗？,0.0,0,0
一块板，加上许多小剪刀。,有一块板和许多小剪刀。,0.9594,1,1
吃过饭，我和拉季洛夫来到他的书房里。,两道铅液越是接近地面，越是扩展开来，形成一条条束状的细流，俨若从喷壶的千百个细孔中喷射出来。,0.1204,0,0
豹头环眼是指什么生肖,豹头环眼指什么生肖,0.9823,1,1
怀孕能吃圆葱吗,怀孕能吃甲鱼吗,0.0,0,0
但是，结局不够理想，我说道，他的举止肯定不够大方。,然后他动了动嘴唇和舌头，发出声音，他要说话了，怯怯地、恳求地望着她，显然怕她听不懂他的话。,0.1366,0,0
他转过身子，高鲁布正站在他的后面咬着他的小黑胡子。,他转过身来，戈卢勃正站在他的后面咬着他的小黑胡子。,0.9758,1,1
一个穿粉红衣服的女孩在一个留胡子的男人的肩膀上。,男人抱着一个女孩,0.2008,0,1
买的手机有没有贴膜曾品,新买的手机有没有贴膜,0.9719,1,1
我完全拒绝和不赞成欧内斯特·海维韦瑟爵士对我弟弟的影射。,我同意欧内斯特·海维瑟爵士对我弟弟的影射。,0.0,0,0
伪造文件的故事从“泰晤士报”、“论坛评论”和“每日电讯报”传播到白水网的其他地方。,故事始于“泰晤士报”，但没有其他出版商接受。,0.2716,0,0
他跟你说什么来，那小鹤子？,我想跟你告别，他说，手里揉着一个信封，里边装着一张一百卢布的钞票。,0.0,0,0
首席陪审员神情庄重地拿着那张表。,首席陪审员神情庄严地拿着那张表。,0.8569,1,1
我当然知道。,不没有。,0.3693,0,0
他从迫害者手里救出这个犹太人，正同从前救出吉洪淫多皮尤斯金一样。,麦基先生倒在椅子上睡着了，两手握拳放在大腿上，好象一张活动家的相片。,0.1514,0,0
早晨，一队男女在这里排队向加内什献祭。,早晨，一队男女在这里排队向加内什献祭。,0.9623,1,1
一个骑摩托车的人在一条空的人行横道前停下来，而三四十辆摩托车和自行车停在他旁边的街道上。,背景中可以看到大量的摩托车。,0.4372,1,1
一只长毛的黑狗站在草地上。,一只蓝鸦站在一片草地上。,0.1134,0,0
同时，它又深奥莫测，因此使人惊骇。,同时它又错综复杂，惊骇由此产生。,0.2422,0,1
完结好看的小说,好看完结的小说,0.9861,1,1
一个可爱的孩子正在公园的草地上玩耍。,一个婴儿在草地上玩耍。,0.5886,1,1
而只有没考虑到这个问题、或者根本没有发生这个问题的人才认为人是虱子如果说拿破仑会不会去的问题使我苦恼了那么久，这是因为我已经清楚地感觉到，我不是拿破仑我忍受了这种空谈的痛苦，索尼雅，我很希望摆脱这个痛苦:索尼雅，我毫无理由地杀人，为自己、为我个人而杀人！,索尼雅，我想丢开这些诡辩去杀人，为自己去杀人，只为我自己一个人！,0.1083,0,1
不是我，是大伙计他声色俱力地我解释广我只是给他当个帮他说:你帮我我就得不十则，他准要找我的麻烦。,我只是帮他的忙，他说:你得帮个忙！,0.3982,0,1
吗，很诱人，不是吗，哈，哈！,他几乎就要被室息死了；他的整个右臂和上半身都被勒紫了；上面起了二百多个小包；这里那里，巳有些小包在渗血。,0.1089,0,0
他以一个阅世很深、充满自信的男子汉的姿态侃侃而谈，同时笑眯眯地看着过往的人群。,你看他会很晚才回来吗？,0.0762,0,0
上帝啊！要知道，反正我还是下不了决心要知道，我准受不了，准受不了为什么，为什么直到现在他站起来，惊异地环顾四周，仿佛连他来到这里也让他感到惊讶，于是他走上桥。,那么，为什么，为什么直到现在他站起身，惊讶地向四下里望了望，好像很奇怪自己竟然来到这样一个地方，然后他向桥走去。,0.5359,1,1
怎么查美国到中国的快递？求高人,一般换驾驶证在什么地方换,0.0,0,0
让我来看看你的计划，我敢说那一定是很好的。,哦！无论诺瓦蒂埃先生是出于什么原因，莫雷尔喊道，我敢说那一定是个很有道理的原因。,0.16,0,1
我就在这儿住一夜，在旁边守着你别折磨我了！,看在上帝的分上，你也别缠着我了！,0.0212,0,1
瓦西里会怎样想呢？,你可以那么说，我亲爱的科波菲尔！,0.0046,0,0
国民储蓄为一个国家提供了国内外投资的资源。,国民储蓄为一个国家和其他国家提供了投入资源。,0.8799,1,1
这也没什么奇怪，魔鬼本来都差不多。,一整夜，他是在苍凉的潮声中合的眼。,0.0363,0,0
唐吉诃德又踢了踢马，它只跳了几下便再也不动了。,提灯的仆人走在最前面，另有几个随从分别走在轿子的两边，阿塔齐努斯则跟在这一行人的后面。,0.0624,0,0
您好吗，杜曼纳夫小姐。,群众中再次爆发出阵阵掌声。,0.0,0,0
流泪以后接着便是恶心，以前你喝的是葡萄酒，以后你喝的是苹果酒。,他用铅笔在两个地方做了记号，打算向巴格拉季翁报告。,0.1627,0,0
不过，他的心里从来没有产生过能够达到仆么目的的想法。,一个宗教狂，一个宗教狂他心里反复想道。,0.4912,1,0
男爵回答。派里尼老板翻译了这一问一答，马便疾驶而去。,掂量掂量这些差别吧，到莫勒里的著作中研究研究这个家庭的历史吧；所有在他们家吃晚饭的清客都会不时地提到这些事，他们称之为微妙的影射。,0.0519,0,0
丹尼斯布林夹着他那两部大书，在约翰亨利门顿的事务所等了一个小时。,丹尼斯布林抱着他那两部大书，已经在约翰亨利门顿的事务所等了一小时，等腻了又带着老婆走过奥康内尔桥，去找考立斯一沃德律师事务所。,0.5736,1,1
绑定花呗的号码不，记得了,花呗在另外个账号，另外个账号又不记得了该怎么办,0.0,0,0
一只被拴在车轮上的斗鸡伸长了脖子，试图啄德鲁的马刺。,火鸡死在马车后面。,0.2409,0,0
一只狗正在公园里奔跑,一只狗在跑。,0.5731,1,1
两个人穿着工作服，正看着墙上插着的一根管子。,两个人看着一根管子。,0.5036,1,1
此外，有几块托架木板钉在隔板上，还钉着一套钩子，上面挂着各种杂物。,明天呢，全部重担又都落在您头上，由您来买面包给她们湖口，这未免荒唐。,0.0,0,0
关于保修,关于维修,0.1408,0,0
一个杂耍手和一个戴着高帽子的男孩站在人群面前。,一个杂耍手和一个男孩站在人群前。,0.569,1,1
最近什么歌好听、,最近有什么新出来的歌好听啊,0.9579,1,1
小王子重复着这句话，要把它记在心间。,小王子重复着这句话，以便能把它记在心间。,0.9838,1,1
父子在一起玩。,这张照片里有两个人。,0.0321,0,1
女孩正在外面拥抱另一个女孩。,一只巨大的蜘蛛爬上一堵墙。,0.0,0,0
一名工厂工人正在机器上工作。,一名工厂工人正在检查鸡肉零件。,0.2745,0,0
"很成功,我见过真正",事情完成得很圆满。,0.0,0,1
爵爷，这是你的爵位证明书这是你的西西里侯爵爵位特派状。,我要提醒你尊夫人的存在，先生；你不承认她，法律却承认。,0.1703,0,0
我不知道在您的事情上是否有过这样的决定有些情况说明有，有些情况说明没有；可是，如果真的有过这样的决定，那么聘书就会早已给您送去，您就会千里迢迢来到此地，就会过去很长的时间，在此期间索迪尼还会一直在这儿为同一件事情忙得精疲力竭，布龙斯维克会搞他的阴谋诡计，我就会夹在中间两面受罪。,扑通。他就。下去啦！,0.0,0,0
你在干什么？小波,小波在不在，你在不在,0.0048,0,1
随后他朝站在角落里惊奇地望着尼古拉的拉斯科利尼科夫看了一眼，向他走去，但是突然又站住了，看了看他，立刻又把自己的目光转移到尼古拉身上，然后又去看拉斯科利尼科夫，然后又去看尼古拉，突然仿佛激动起来，又去责骂尼古拉。,他刚想向拉斯柯尼科夫跟前走去，又忽然停住脚步，看了看他，立刻把视线移到尼古拉身上，然后又移回到拉斯柯尼科夫身上，然后又移到尼古拉身上，最后他好像一时怒起，又倏地朝尼古拉跟前冲去。,0.0515,0,1
这事交给我们就行，先生，我们可以用人格担保；不过我们同样也可以用人格担保，阿托斯皱了皱眉头接着说，达德尼昂先生是不会离开我们的。,你们小心点，把那些东西统统收开，要不然就要倒楣。,0.1467,0,0
以后我就是你主人知道吗,听清以后我就是你主人了晓得不,0.8767,1,1
现在去参加命名日吗？,他楚给我买树皮鞋的钱的。,0.0,0,0
当然奥勃朗斯基去是出于好意，可是人家会说:奥勃朗斯基也去了完全不是那么回事，列文听见奥勃朗斯基笑着这样说，我根本就不认为他比任何富商或者贵族更不要脸。,什么人的话都要听，做的时候，要想想怎么做对己最有利整整一个兑大，当然除了刮风下雨，我都在花里度过，温暖的夜里我杜辛就在花闲:躺在夕、婆込给我的条羊毛毡上睡觉外婆己也常在牝哏过夜，她抱米十草，铺在我的床旁，躺来，久久地给我讲些什么。,0.0469,0,0
还有小辛西娅？,那娇小的辛西娅呢？,0.056,0,1
如果一个男人爱你，有什么表现。,一个男人不爱你了的表现有哪些？,0.0,0,0
人的古文字是什么？,这个古文字是什么？,0.0159,0,0
没有什么好运，几天过去后，不仅没有看到漏洞，而且觉得它日渐增大。,于是他马上拆开床脚，取出了那只小瓶子，瓶子里还有一点红色药水。,0.0891,0,0
他甜蜜蜜地眯缝着有拽枯黄的眼睛，像说绕令似地很快姑哦说:老大别让我睡、着觉！,我发明了一种药剂，可以使得在布片上写字就好象在羊皮纸上写一样光滑流利。,0.0,0,0
什么原则呢？舒宾问。,哼，您的妒嫉心现在几乎让你异想天开了，卡德鲁斯。,0.0369,0,0
这两个人看上去心不在焉，但他们打得又猛又快。,两个人打得很快。,0.5381,1,1
站在我面前的人影，以前我从来没有在桑菲尔德府地区见过。,我说，一定说，玛丝洛娃回答，要不再喝点酒，壮壮胆儿。,0.0552,0,0
手机有啥好玩的单机游戏，求推荐,推荐个好玩的手机单机游戏，谢了,0.9829,1,1
昏昏欲睡的地铁乘客。,愤怒的路人挤进拥挤的地铁。,0.2705,0,0
这就是当时熊的做法。,他们估计我在圣诞节前回家，却不料我会这么早就到家。,0.1631,0,0
1995年2月22日，Reich在联合经济委员会就最低工资问题作证。,Reich在2017年2月22日谈到了最低工资。,0.3433,0,0
一小时以前，我在基度山家里，摩莱尔说，我们正在谈天，他谈论你家里所遭到的不幸，我谈论你的伤心，那时忽然有一辆马车辚辚地滚进前庭来。,见血封喉树—:树汁剧毒，常作箭毒用。,0.0975,0,0
基度山预期摩莱尔一看见他就会痛哭流涕，但他估计错了，因为摩莱尔回过头来，用表面上很平静的态度说:你知道我在祈祷。,先生，我无法给您形容这段时间过得多么快，快得多么惊人，回想起来简直让人伤德语:惊醒狮子将十分危险，老虎牙齿是莫大的祸害，但最可怕的事情却是一个人处于疯狂状态！,0.0773,0,0
请问您是什么时间还款的？,好的，谢谢您了；请问您是什么时间提交的呢？,0.0,0,0
两个人在一条赛道上骑着摩托车互相撞。,两个人在跑道上骑摩托车。,0.4353,1,1
他恨不能有对拥有十万镑年金的父母。,既然这样，唐吉诃德说，上帝也把我解脱了。,0.0328,0,0
因为卡捷莉娜伊凡诺芙娜虽然有满腔宽宏大量的感情，然而是个性子暴躁的女人，爱发脾气，大声骂人。,老头非常激动。,0.0128,0,0
就你能暴露出他另一面,你不认识他,0.0,0,0
当我在尼克松政府任职时，我们在这一周都非常沉默寡言。,我在那里的时候，尼克松政府是非常进步的。,0.0449,0,0
的缔造者，毫无疑问，一定是想把他们的塔尖造得象最高的船桅一样，高耸在亚洲或者非洲的空际；然而在加上最后的顶冠之前，由于他们那塔顶的大石杆，可以说是被上帝一阵愤怒所刮起的可怕飓风一扫，给扫到海里去了；因此，我们不能把这种应给埃及人的优先权拿来送给巴别的缔造者。,虽然他们的前辈——巴别通天塔的制造者，确切无疑，肯定想把他们的塔尖造得像最高的桅杆一样，高耸在非洲或亚洲的上空，然而就在加上最后的顶冠以前，暴怒的上帝，刮起恐怖的飓风，他们那石制的桅杆被刮到了海里；所以，这个荣誉应由埃及人而不是巴别的制造者来享有。,0.4687,1,1
许多人都在室内游泳池里，有一个女孩头朝前跳。,人们都在室内。,0.2131,0,1
我看看他的脸:我有生以来没有见过这样的人。,一阵战栗传遍了拉夫列茨基的肢体。,0.0367,0,0
哎呀！您做什么呀？,哎呀！您这是干什么呀？,0.9739,1,1
康熙年间清穿文,清穿康熙文,0.983,1,1
一个男人坐在笔记本电脑前，两个男人(一个坐着，一个站着)在后台面对面。,三个人争夺一台笔记本电脑的控制权。,0.2976,0,0
我倒想知道这种东西怎么会到《圣经》里去的。,我倒想知道那首诗是怎么被收进去的。,0.0,0,1
一万六千名禁卫军士兵以战备的列队护卫在道路的两旁，把那些愤怒的人群挡在―一定的距离之外，以保证皇帝行跸的安全。,这当儿，州长把他那束玫瑰花放在石板上，戴上书记宫递过来的眼镜，从堆在桌上的档案底下抽出一张斑痕累累的、发黄的羊皮纸，羊皮纸有的地方已经损坏、破碎或者发绿了，上面写满了字迹，看样子以前一定是折得很小。,0.0718,0,0
道格·弗蒂叫了一次暂停,曼宁叫了暂停。,0.3174,0,0
一个金发女人坐在一间灯光昏暗的房间里的桌子旁，她身后有梯子和金属框架椅子。,桌子旁有个女人。,0.3728,0,1
下载手机小说怎么下载,uc浏览器最新版20141209怎么小说不能离线下载了,0.0,0,0
这个帅哥是谁？赵磊吗？,这个帅哥是谁！？,0.9324,1,1
您也没能说服我呀，瓦朗蒂娜说，我得说，要是您举不出别的例子例子倒还有一个，马克西米利安有些犹豫地说，不过说真的，瓦朗蒂娜，我得对自己承认，这个例子比刚才那个还要离谱。,可你的话也没有说服我，瓦朗蒂娜说，我必须说，假如你不能给我更有说服力的证据——马西米兰迟疑地说:我还有一个证据，但是——的确，瓦朗蒂娜，我自己也不得不承认它比第一个理由更荒唐。,0.5173,1,1
求罪恶王冠楪祈高清图片,求罪恶王冠高清图片,0.9638,1,1
这样看来，您事先是一无所知的。,我急忙向她解释，我并不仟在这条街上，只是有时过来看看。,0.1181,0,0
没什么，帕维尔彼得罗维奇代为回答，白白地把你打扰了。,没有什么，伯爵夫人说。,0.3578,0,0
当她同他单独在一起的时侯，她突然感到害伯:那双含笑的眼睛和严厉的神气使她吃惊。,您懂得我的意思吗？,0.0395,0,0
有钱有势,有权有势,0.9787,1,1
——正如在这一带偏僻的乡村里苔丝家里人相互之间总是喜欢以宿命论的观点这样说，眼前这件事情让人觉得可悲。,在那些穷乡僻壤的地方，苔丝自己家里的人总是用宿命论的口气互相不厌其烦地说:这是命中注定的。,0.2739,0,1
一个男人坐在一辆装满蔬菜的手推车后面。,一个人扔棒球。,0.0,0,0
我走到干草棚里，躺在刚刚割下、但几乎已经干燥的草上。,我好容易走到一个干草棚里，在一堆刚刚割下但几乎已经干祜的青草上躺下。,0.969,1,1
邓格拉司夫人在狄布雷的耳朵旁边低声说了几句话，狄布雷就走过来对基度山说:男爵夫人想知道您为了那两匹马付了多少钱给她的丈夫？,他知道这是最后的回光返照，于是走近了那个垂死的人，脸上流露出了镇静而忧郁的神色，弯下腰去轻声说道:我是我是他那几乎是闭着的嘴里轻轻地吐出一个名字，声音低得好像连伯爵自己也怕听见似的。,0.0092,0,0
一个年轻的女人，穿着金属紫色的衬衫和黑色的裤子，站在一个干涸的游泳池里，摆着瑜伽姿势。,她在做交叉练习。,0.0993,0,0
是的，他全知道，全明白，他说这话等于告诉我，虽然丢脸，但必须忍受。,是的，他都知道，他都明白，他说这些话是在告诉我，虽然我感到羞愧，但是我必须克服羞愧心情。,0.9683,1,1
现在广东或者浙江海鲜市场大螃蟹是什么价格,今年螃蟹价格会涨吗？为什么现在的价格这么低？,0.0,0,0
意思是人人都能干。,没有，默德斯通先生，我没使任何可爱的人痛苦惊恐得早早进了坟墓！,0.0,0,0
公共汽车旅游带你到大的景点，但不可避免的是在他们最忙的时候。,公共汽车旅游把人们带到景点，当他们不忙的时候。,0.4438,1,0
他在爱德华那儿，爱德华也不大舒服。,他在爱德华房里，爱德华有点不舒服，德维尔福夫人说，她无法再回避了。,0.5638,1,1
小船继续前进，他只是想念着美茜蒂丝。,他把这些东西都送到一个年轻的木材商那里，此人是他的朋友，名叫富凯，住在俯瞰维里埃的大山里。,0.0395,0,0
充电展示器温过低,手机显示温度过低，但充电显示充不进电,0.0,0,1
哦，这还算不了什么，我心里说，你那点儿古板难不倒我，我可要好好试试身手。,我们给打败啦！,0.0442,0,0
一个背着背包的男人正在攀岩。,一个人在路上慢跑。,0.0,0,0
一位身穿紫色上衣的女子在雨中行走，手里拿着一把白色和红色的雨伞。,有个女人在做饭。,0.076,0,0
可是果真是这样吗？,连老爹一家七口下地干活。,0.0355,0,0
可怕的事情终于发生。,你到底想说什么？,0.0,0,0
我被你嫌弃了吗,你是不是嫌弃我,0.9549,1,0
一只狗和一个女人坐在户外咖啡馆里。,一个男人和一只猫坐在室内。,0.0258,0,0
有两个人参与了剑战。,两个男人在睡觉。,0.0,0,0
他们都是在幵完支部会，听了简单的传达之后，就直接到这儿来的。,残废军人疗养院的时钟敲打十一点三刻了；西风顺便带来了三下凄凉的、颤抖的钟声。,0.1037,0,0
很好。娜塔莉亚瞪了一眼。,娜塔莉亚皱着眉头。,0.5566,1,1
恰恰因为这个缘故，管家的信令他感到不快。,村子里有一家客店，是由一个上了年纪、身材拫胖、有着非黹粗的白脖子的，、坛，寡妇开设的，聂赫留朵夫在那里烘干他的衣服，，在装饰着大量的圣像和画片的清洁的土房里喝够了茶，就匆匆忙忙赶到旅站去找押解官，谙求他准许会风玛丝洛娃。,0.1084,0,0
在健身房里拿着球拍的亚洲女孩。,那个亚洲女孩在用球拍。,0.5766,1,1
咸蛋超人和奥特曼是什么关系？,咸蛋超人与奥特曼有什么关系,0.9808,1,1
经纪人和电子现金服务将会从中得到一分钱。,一分钱给经纪人和电子现金服务。,0.9364,1,1
有酒窝或梨涡吗,这个是什么窝？是酒窝还是梨涡啊,0.0362,0,0
