sentence1,sentence2,匹配度,是否匹配,真实标签
殖民主义的回声在火车站明显可见，它的摩尔式建筑让人想起吉隆坡的中央车站，在当地被称为泰姬陵；附近是Majestic Station酒店。,火车站在当地被称为泰姬陵。,0.124,0,1
凡人都有一死，身边很近的地方有个声音说，但并非所有的人都注定遭遇慢慢挨的早死。,人总是要死的，近旁的一个声音说道；但并不是所有人都注定要遭到不爽快的早死，像你这样，如果你在这儿因为贫困而死去的话。,0.5186,1,1
马格尼茨基则取笑起斯托雷平的激烈态度来。,因为他每天早上都要空腹喝他一杯，这个习惯还是在军队里养成的。,0.0472,0,0
怎样让指甲变好看？,指甲怎么修好看,0.9383,1,1
我觉得外婆的上帝我懂得，也不可怕，似在外婆的上帝面前不能扯谎，说虚感到可耻。,就跟我同你说起过的那个生不了孩子的处女一样。,0.0236,0,0
请关掉手电筒,请打开手电筒,0.0,0,0
国王们不喜欢别人打断他们的侍从们的腿。,客人不多，或喝酒，或不喝，或站着，或坐着。,0.0,0,0
溜冰场上的一个人。,那人正坐着呢。,0.0447,0,0
朋友借钱忘了还，怎么开口找他要？,朋友借钱，不好开口要他们还这么办？,0.0,0,0
有两个人在攀岩，一个在地上，另一个在爬。,喝果汁的男人。,0.0223,0,0
你或许也可以活到一百零七岁的。,逮不着，你弄到了什么？,0.0,0,0
有个看守看见这景象，告诉我，说洛靖斯基没有反抗，罗卓夫斯基却挣扎了好半天，因此他们只好把他拖上绞架，硬把他的脑袋塞进绳套里。,他本可以狠狠一拳将她击倒，可他下不了手，只愿扭打。,0.0814,0,0
卡秋莎的生活，从尸体鼻孔里流岀的脓液，从眼眶里露出来的眼球，他对她做出的行为——这一切在他看来，都属于同一类的东西，他正在被这些东西从四面八方所包围，并被它们所吞食。,卡秋莎的生活、从尸体鼻孔里流出来的脓液、从眼眶里暴出来的眼球、他聂赫留朵夫对待她的那种行径，等等，依他看来都象是同一类的东西。,0.6731,1,1
“问题”的意思是什么？,问题是什么意思？,0.9765,1,1
一个男人在斜坡上表演自行车魔术。,那个人在滑板上。,0.0287,0,0
这门亲事，维尔福夫人又说，伊辟楠先生和他的家庭也是很乐意的，而且，他也没有什么近亲，只有一位叔父和一个婶娘，他的母亲是他落地的时候就死了的，他的父亲在一八一五年遭人暗杀——那就是说，在他只有两岁的时候。,他母亲在他落地的那会儿就死了，他父亲是一八一五年那时候给人暗杀的，当时这孩子才两岁，所以，现在他完全可以自己拿主意。,0.4871,1,1
当时为了你我伤心痛哭，他听见了就恶言恶语地挖苦我，还用脏话骂你，我听不下去就把他杀了。,她从来都不要我。,0.0,0,0
这时候她的脚脖子完全好了，举止也文雅起来了。,有什么办法呢，孔斯坦丁拿尔基则奇！,0.0,0,0
一场曲棍球比赛正在进行中，一名叫“大卫”的曲棍球运动员正试图在对守门员的比赛中得分。,一个人在做运动。,0.4391,1,1
她是谁？巴扎罗夫不乐意地问。,这是谁？巴扎罗夫不乐意地问了一旬。,0.9348,1,1
拉夫列茨基回到客厅里来，走近了牌桌。,聂赫留朵夫把自己的名片和一张写着有私事求见的字条递过去，请他转交给押解官。,0.133,0,0
让他们气疯好了，布伦特说，我们两个对付得了他们。,信仰有着一种不知什么怪诞的形式的需要。,0.0273,0,0
马尔达里阿波洛内奇管理自己的庄园相当马虎；为了不落后于时代，十年前他在莫斯科向布杰诺普工厂买了一台脱粒机，回来后把它锁在板棚里，从此便万事大吉。,马尔大利阿波洛内奇处理自己的领地非常注重表面；为了要不作时代落伍者，大约十年前他就向莫斯科的布捷诺泼公司买了一架打谷机，把它关闭在储藏室里，这就安心了。,0.7134,1,1
或许，尤其是在跟您相会的时候，这是一种错误，但假如我没有一点幻想的话，我就不成其为艺术家啦。,或许，特别是在跟您见面的时候，这也许是一个错误，但如果我没有一点幻想的话，我就不成其为艺术家啦。,0.9711,1,1
费尔法克斯太太，我发现，赞成我这样做。,打动她的心，成为她下定最后决心的原因之一，那就是领家对她说，她想做什么样的衣服就可以做什么样的衣服，不论是丝钱的、费伊绉的、绸缎的衣服或是袒露肩膀和胳膊的舞衫，一概能做。,0.0964,0,0
买股票能赚钱吗,买什么股票可赚钱？,0.0287,0,0
可是，因为爱决不会使眼光离开其主体的幸福，所以万物都不会憎恨自己；因为不可能设想任何存在物是离开最初的存在物而独立的，所以一切被造物都不可能僧恨他。,如今且说，既然爱决不能掉转脸去，把它的主体的幸福置于不顾，一切万物都没有憎恨自己的危险；而且我们不能想象一个造物脱离至高的造物主而单独存在，因此一切情感中断无恨上帝之心。,0.4513,1,1
孕妇可以吃螃蟹吗,怀孕能吃黑米吗,0.0,0,0
您好，已经帮您暂停的了，辛苦您了,这边已经帮您加急的哦，您尽快处理就可以的了，辛苦您了。,0.0,0,0
那好，就算这样，达德尼昂说，这封信就由您来写，阿拉密斯；不过，看在教皇圣父的份上，您要当心才是，因为现在该轮到我来挑眼儿了，我这可是有话在先。,您是我的朋友吗？,0.0009,0,0
可以的，您可以尝试自己修改下的，您无法修改的，这边可以帮您人工修改的。,您好，小二建议您可以操作申诉，但是申诉成功您自己的账户也会无法使用的,0.0,0,0
他们干吗非要守在旁边看着自己的儿子断气呢？,但不管怎样，他们干吗要看着他们的儿子断气呢？,0.5742,1,1
谁知道哪里可以去看电影！,谁知道哪里可以看这个电影？,0.9665,1,1
“我得回家了，”卡丹说。,卡丹说他必须回家。,0.3519,0,1
这些都是空话，亲爱的先生，伯爵说，您去讲给一个偶然遇到的人听听还差不多；但是德莫尔塞夫伯爵不是样的人当一个像他这样的人去找另一个人，提他说话要算数，而那个人却想赖账的时候，他是有权利要求对方至少当场说出一个像样的理由来的。,他请我星期六到他那儿吃饭，对他来说，这不过是一件极其自然的事情。,0.1804,0,0
一个穿着白色连衣裙的女人坐在一个穿着晚礼服的男人面前，两人都在树前。,那个女人穿白色衣服,0.2433,0,1
玛芙拉，我说得对吧？,他对娜塔莎的爱情、敌基督、拿破仑的入侵、彗星、、拿破仑皇帝以及俄国人别祖霍夫——所有这一切都必然成熟，爆发，把他从那个着了魔的、充满了莫斯科习气的他觉得他是这种习气的俘虏、毫无价值的环境中拯救出来，使他走上建立丰功伟绩和得到伟大幸福的道路。,0.0861,0,0
您不信也没关系，可我知道我说的都是实实在在的事悄:我瞧见一个白色的人影；而且，仿佛天主生怕我单凭一种感官的感觉还不能相信似的，我还听见了我的杯子挪动的声音，瞧，瞧，就是放在桌子上的这只杯子。,可是有句俗话说:十字架的后面往往藏着魔鬼，送它到火里吧。,0.0393,0,0
我要听猫的声音,打开听音乐放个屁,0.0,0,0
既然她那忠贞、美丽、诚实与姻静已经成了你垂手而得和取之不尽的财富的矿床，你何必还要冒着一切尽失的危险深挖狠掘以寻找新的、从未见过的珍宝的脉络？,每分钟我就要点一次灯，熄一次灯！,0.0,0,0
一丝满意的微笑掠过波克的厚嘴唇。,他不安地说。好吧，小姐，再见。,0.1428,0,0
手机淘宝评价怎么看,手机淘宝怎么改评价，,0.0034,0,0
上哪去呢我,我上哪去,0.9806,1,1
若无其事,谣传,0.3088,0,1
信上是这样写的:唐吉诃德德拉曼却致巴拉塔里奥海岛总督桑乔潘沙的信桑乔老朋友:我本来以为会听到从你那儿传来的你办事粗心，粗莽失礼的坏消息，没料到传来的却是你处事机警的喜讯。,我选择了后一种方法，决定离开这所公寓，找一个比较便宜的地方去住。,0.0,0,0
还有其他不太容易打印的押韵。,还有其他更多可打印的押韵。,0.9528,1,0
她想起许多人，唯独没有想起聂赫留朵夫。,倘若从上面那个有关两只丑陋动物的词得出结论，说勒蒂埃利不愿让他侄女出嫁，那就错了。,0.0,0,0
穿着粉色连衣裙、围巾和头巾的女婴把手按在玻璃窗上，透过玻璃窗看了看，为什么拿着玩具，还在吸吮奶嘴。,一个孩子望着窗外。,0.137,0,1
一会儿，两个人又进来了。,拉斯托普钦伯爵担心一八一二年的莫斯科的公共治安有什么根据呢？,0.0,0,0
媳妇我爱你呀,我很爱你,0.0123,0,0
洞隐烛微,洞幽烛微,0.9651,1,1
我虽然喜欢他，但他说的话我十句倒有八句摸不着头脑。,接着，谢廖沙参加了县代表大会，会上进行了两天热烈的争论。,0.0295,0,0
说完，伯爵夫人离幵弗朗兹，让他拿不准究竟她是在拿他开玩笑，还是如她表现的那样，真的感到害怕。,我早就知道她爱偷东西，阿玛莉伊凡诺夫娜把双手一拍，说道。,0.0655,0,0
总之，我的结论是爱得不深、没有头脑、野心太大和贪图荣华等等因素使她骗了我、耍了我，让我空抱热望和一往情深。,有些人极力评论刚发生过的事，有些人争吵和相骂，也有人唱起歌来。,0.0,0,0
铺子里老板娘打算把她侄女嫁给掌柜，因此他俨然把自己认做这个店铺和所有人的主人。,老板娘准备把自己的侄女儿嫁给掌祀，因而他俨然以家居。,0.0,0,1
一个穿着橙色背心的人在火车上工作。,一个人在飞机上工作。,0.0196,0,0
老百姓却不能领会这种微妙的分别，他们认为这是一种特别可怕的办法我们不应该忘记，一七五年甚至更后一些时期的英国，和原文是拉丁文我们今天的英国是大不相同的。,我们不要忘记，当时的英国并不是一七○五年的英国，更不是很久以后的今日的英国。,0.2907,0,1
你瞧，都堵住了，所以转不快。,先生，我无法给您形容这段时间过得多么快，快得多么惊人，回想起来简直让人伤德语:惊醒狮子将十分危险，老虎牙齿是莫大的祸害，但最可怕的事情却是一个人处于疯狂状态！,0.0,0,0
一分米等于几厘米,一米等于多少毫米,0.2,0,0
嗯，我想这是值得的,我觉得值一块钱。,0.9592,1,1
自从战胜了英勇无比的比斯开人，我们这位可怜的骑士己变得不可一世。,这位曾经战胜过勇猛的比斯开人的可怜大人显得不可一世。,0.9762,1,1
因为他向她求爱，舍妹被他老婆玛尔法彼得罗夫娜给撵了出来。,因为他的求爱和纠缠，她离开了他们，是被他老婆玛尔法彼特罗夫娜赶出来的。,0.8943,1,1
医生问道他梦见什么？,医生质问道。他梦见自己手里拿着一条活鱼。,0.1392,0,1
不这样想吧？玛莎，亲爱的。,玛莎，亲爱的。,0.6498,1,1
从第三个牢房里传出来叫嚷声和吵闹声。,第三间牢房里传出叫嚷声和吵闹声。,0.9738,1,1
这些在海里延伸得长长的岩礁，加上它们间的裂缝和它们的锯齿，成了真正的小山脉。,爱德蒙，美塞苔丝向伯爵伸出双手，接着说，打认识你那天起，我就喜欢你的名字，并时常记起你。,0.0251,0,0
你说话神志不清！,犹如有一本烹调书上说龙虾喜欢活活地被煮死一样，他也充分相信人民喜欢成为迷信的人，而且这不是象在烹调书上那样在假借的意义上说的，他是在直接的意义上这样想和这样说的。,0.0,0,0
他对我说:当他们带着他们留在人世的躯体从约沙法回来时，所有的坟墓都要关闭起来。,等到地板上的瓶子满了，从胳膊肘内侧往体内输液体的瓶子空了，这两只瓶子就会立刻被调换，液体便重新流入他的体内。,0.2163,0,0
按纳不住,按捺不住,0.9675,1,1
所有的人都回过头来。,所有的人都掉过头来。,0.2334,0,1
杨幂和唐嫣哪个漂亮,杨幂和林心如哪个漂亮？,0.0,0,0
看来年轻人比我们聪明得多。,而我这一辈子，无论过去、现在和将来，凡是靠武力取得的声誉，全都是她保佑我、我忠于她的结果。,0.0349,0,0
一个戴着一顶长长的栗色帽子的人在一个黑色的金属碗上敲鼓。,那个人在吹金属喇叭。,0.3172,0,0
在一座建于水上的城市的街道上，人们乘坐着一艘棕色的小船漂浮着。,人们都在飞机上。,0.0227,0,0
几个穿白色衣服的人坐在一辆地铁车厢里，穿过一个明亮的橙色车站。,人们穿着白色衣服。,0.3979,0,1
再有就是教派信徒的案子，他们因为诵读和讲解福音书而被迫离开家人，流放高加索。,她看不见眼前的广大世界，看不见那许许多多可以弥补她这个损失的人；她感到自己在世上孤孤单单，无依无靠。,0.1834,0,0
我对音乐一窍不通，他严厉地瞧着她说。,怎么能光信自己呢？,0.0,0,0
一个穿着海军军装的女人正在一张白色的桌子上切蛋糕。,在阳光明媚的日子里，一个戴着头盔的人坐在自行车上。,0.0021,0,0
同桌的你什么视频软件可以免费看了,同桌的你用什么视频播放器可以看,0.9837,1,1
这条沿海公路继续向东通过小镇Oracabessa，那里有腐朽的铁丝网，一直延伸到牙买加最北端的Galina Point。,Galina Point位于牙买加的南海岸。,0.0997,0,0
牛在底验港到了水，开始叫起来。,底船里的牛被水俺到，开始哞哞直叫。,0.9829,1,1
笑话老婆的笑话,给我讲一下这些笑话,0.0,0,1
怎样可以签约唱片公司？,如何签约唱片公司？,0.9821,1,1
祝你以后生日快乐,给留言发一个短信祝她生日快乐,0.0001,0,0
混淆视听,耸人听闻,0.0045,0,1
但他两个都做了,他不是两样都做了。,0.1309,0,0
一个人高高地在空中冲浪，在海洋中冲浪。,这名男子躺在床上，全身抛掷，在那次近乎致命的冲浪事故后。,0.0244,0,0
放心，主教大人出现以前我们还有足足二十分钟。,这很好，我喜欢你这种说谎的方式。,0.0243,0,0
你瞧，铁匠，这些都是我搜集来的骏马蹄铁的钉头钉脑。,您今天多么恶毒呀！,0.0,0,0
所以我总觉得最珍贵、最生动的东西，是藏在善行后面的在龚古尔、格林武德、巴尔扎克等人的小说里是没有善人，也没有恶人的，而有的只是一些最最生动的普通人，只是精力充沛得令人惊奇的人。,它不是在哥萨克人那里，且尔托泼哈诺夫继续说，始终不转过头来，声音照旧很低沉，而是在一个茨冈马贩子那里；我当然立刻认定了我自己的马，想用强力把它夺回来；可是那个狡猾的茨冈人像烫伤了似的大叫起来，叫得整个市场都听见，他对天发誓，说这匹马是他向另一个茨冈人买来的，他还要叫人来对证。,0.2201,0,0
聂赫留朵夫深深地叹了一口气，低低地鞠了一躬，握了握宽宏大量地向他伸出来的瘦骨嶙峋的大手，走出房间。,聂赫留朵夫深深地叹了口气，弯腰鞠了一躬，握了握故作大度地向他伸过来的瘦骨嶙峋的大手，走出了房间。,0.9612,1,1
这个用英语怎么说用英语怎么说,青色用英语怎么说,0.0,0,0
基特一停不停，一个劲儿向前割去，没有丝毫疲劳的样子；可是列文已经在担心，怕不能坚持到底，他实在累坏了。,我问道。从印度吗？,0.0584,0,0
有什么可以在家兼职的工作吗,什么样的工作可以在家做。兼职。,0.9854,1,1
找到船的另外多给一个畿尼，这是预付你们一天的工资，现在去吧！,我回答他，他们尽管曾被赶走，却仍从各地重返，先后两次，都是如此，可你们的人却不曾很好地学会这套本事。,0.0727,0,0
我想和女儿告别，但他们让我走，上马车。,我想跟我的女儿告别，可是人家却叫我出去，坐到雇来的马车上去。,0.9815,1,1
我知道，但是他们每年都会尝试，每年都会被抛弃，这太愚蠢了，因为他们让你把它放在那里，但他们不允许你卖，不允许他们在那里卖,即使他们允许你把它带进去，他们最终还是会被扔出去。,0.5107,1,1
我们管这个地方叫圣叶戈尔草原，他对我说。,我们这一带地方叫作圣耶各尔草原，他回过头来对我说。,0.9497,1,1
上涂了一层紫色；灯芯绒浴衣的背部有一幅黑颜色的图案，画了一架轰炸机冒着橘红色的高射炮火进行俯冲，机头前面还画了六行排列得整整齐齐的小炸弹，标志着已经飞满了六十次战斗任务。,那陌生人的齿龈被涂成了紫色；他的灯芯绒浴衣后面有一幅画，画着一架轰炸机正穿过桔红色的高射炮火，浴衣的前面画上了整整齐齐的六排小炸弹，表示飞满了六十次战斗任务。,0.5446,1,1
他从口袋里掏出一个山羊形的甜饼，两个糖角，一个苹果和一包青色的葡萄干，他把这些东西放在枕头上我的鼻子跟前。,和舒宾截然不同。,0.044,0,0
凯斯威克是游览国家公园和西北的好基地。,如果你想游览国家公园和西北，凯斯威克是一个很好的基地。,0.9714,1,1
民困国贫,国富民强,0.0,0,0
除了被判处死刑这个殊荣之外，这个英俊的外国人态度还非常庄重，而且有幸信教非常虔诚。,国王称贵族为注。,0.0313,0,0
斯佳丽把婴儿抱起来，赶紧用一条厚毛巾裹好。,这个本能代替了另外的本能。,0.0,0,0
宪兵抓住他的两臂，硬拉他起身，拖着他踏上石级，向堡门走去，差官跟在后面，拿着一支上了刺刀的马枪。,他抬起沉思的眼睛瞧看着她，忽然发觉他坐着，她却一直站在他面前。,0.0369,0,0
突然，车夫们打着慷慨激昂的手势交谈起来，把马勒住，马几乎完全靠后腿直立起来。,巴黎人攻占了巴士底狱；现在我们要把你降服！,0.0401,0,0
最后一个办法？,保尔解开缰绳，忍住膝盖的疼痛，咬着嘴唇跨上了马。,0.0,0,0
拉斯柯尔尼科夫眼里的火要把他烧成灰。,这使我感到不安，似乎整个晚上都是一个圆套，强使我也付出一份相应的感情。,0.1336,0,0
年轻的那个，严厉地蹙着眉头，靠在椅子背上听着，那个大一点的、瘦瘦的、头发蓬松的女人，突然两手掩住脸，抽搐着肩头。,冲向他的脸盆和水罐，谢天谢地，一个很大，另一个很深，都灌满了水。,0.0388,0,0
到那时，这座城市已经变成了一片死水。,当时，这座城市生机勃勃，正处于文化的鼎盛时期。,0.114,0,0
对我来说，那具尸体既奇怪而又庄严。,离他的住处只有几步远了。,0.0309,0,0
聂赫留朵夫不知道究竟是什么使监狱长感到特别棘手，不过今天他发现监狱长身上有一种特别的、能勾起人的悲哀、沮丧和绝望的情绪。,女看守听见吵闹声，就带着一个男看守走进来。,0.1083,0,0
一个戴着太阳镜的金发女人和一个穿短裤的黑发女人走在一起。,两个女人坐着吃零食。,0.0323,0,0
两个十几岁的年轻人站在铺着瓷砖的街道上，站在一个涂着蓝色的快餐店附近。,两个成年人在散步,0.1225,0,0
花呗能和卡里的钱一起用吗,银行卡可以和花呗一起支付,0.892,1,1
三个人穿着雪鞋，用拐杖在雪中跋涉。,三个人坐在雪地里,0.3046,0,0
我也该走了。我不会灌酒。,这一天，勒蒂埃利站在两个轮翼箱之间的甲板上，目光逼视大海，高声大喊:现在轮到你了！,0.0733,0,0
特别是根据“美国法典”第15章第11A节所载的建立全国市场体系的任务。,全国市场体系将被解散。,0.1992,0,0
罗切斯特先生，请允许我收回我第一个回答。,它跃进十来步，并不快，等狗追来；感到了危险，于是选好方向，抿起耳朵，四爪翻飞地逃跑了。,0.0295,0,0
玛丝洛娃又象从前那样穿着白上衣，围着白裙子，头上包一块白头巾。,玛丝洛娃又是从前那样的装束，穿着白上衣和白裙子，扎着白头巾。,0.1735,0,1
他知道，树林里有初生的狼小狼和长成的狼老狼；他知道，猎犬分为两群，某个地方正在进行追捕，而某个地方事情进行得不大顺手。,他知道，孤林里有小狼和老狼；他知道，猎犬已经分成两队，正在什么地方追捕，在什么地方出了差错。,0.8087,1,1
我要设法不再给您家里添任何新的麻烦，要给所有在像我这种处境的正直忠诚的男子汉做出他们可以效仿的徬样。,我要去闯一条路，免得再给您的家庭增加麻烦，我要给一切忠诚坚贞的男子作一个榜样，让他们知道当处于我这种处境的时候，应该怎样做。,0.4524,1,1
怡恰相反，他坚持认为您是个头号的不可思议的人物；所以他才会如此想念您，可爱的年轻人！,没有，他仍然坚持把您当作是最不可思议和最神秘莫测的人。,0.5158,1,1
最初几声炮声还没有消失，别的大炮又打响了，还有许多大炮争先恐后地射击起来，炮声汇成一片。,因此，那些人互相残杀，并不是按照拿破仑的意志才发生的，而是不以他为转移，按照参加共同行动的几十万人的意志进行的。,0.3761,0,0
许多聚集在一起的人站在一个公共广场上。,一群人在小睡。,0.0465,0,0
但是这种感觉转瞬即逝，拉斯托普钦伯爵轻蔑地笑了笑自己。,卡顿先生，她激动得停了一会，答道，这是你的秘密，不是我的；我答应尊重它。,0.0965,0,0
是迈克·莱利，那是,是迈克·莱利。,0.6305,1,1
含植物的成语,含植物名的成语,0.9755,1,1
去吧！那是多么美丽的森林，多么美丽的森林啊！,我真是自作自受！,0.8469,1,0
名人传记有哪些,有哪些名人传记？,0.984,1,1
是好风吹来的，连赂膊都给鲍贡团吹断啦萨洛梅加一点也不管旁边还坐着一个女子，就恶狠狠地臭骂起来。,我想你是一个布尔什维克，或者是一个共产党员。,0.0057,0,0
她哭的时候，那双闪闪发光的眼睛开始具有令人倾倒的魅力。,请坐吧！您能用什么办法救他？,0.0,0,0
这可能是都柏林或附近最不寻常的小博物馆之一。,这个博物馆根本不在都柏林或附近。,0.4009,1,0
仆人拿着手枪回到维特那儿；当维特听说枪是绿蒂亲手交给仆人的，心里喜不自胜，便把枪拿了过去。,你明白我的意思吗？,0.0067,0,0
如何快速记忆英语单词？,如何快速的记忆英语单词?,0.9892,1,1
这时，办法只有一个了。,它嗅到了好吃的，那模样就象老太太上菜场！,0.0028,0,0
道路四凸不平起来，车轮常常碰着树枝。,阿尔贝，你是一个心地宽厚的人，但可能会被骄傲或怨恨所蒙蔽，你会拒绝我，你有可能会向别人去要求我有权提供的帮助，那我就要说，有个人的父亲是受你的父亲的迫害在饥饿和恐怖中死的，而你竟拒绝接受他向你的母亲提供生活费，这样，你的确太不仁慈了。,0.0826,0,0
阿托斯抬起头，伸出一个指头指指天空。,外边门铃响了。,0.0152,0,0
光前裕后,小口,0.7292,1,1
八月22日是什么星座,那金牛座呢,0.0,0,0
然而，真正的答案是，科学不能告诉我们除了合理怀疑之外发生了什么。,科学不能告诉我们发生了什么，不能排除合理的怀疑。,0.9688,1,1
我想我们该走了。,我们应该向前看。,0.1979,0,1
"继续考,明年想考京都大学.",明年不考了,0.0,0,0
经过一夏的时间，草已长得非常茂密，秋天到了，也没有人去割除它。,他们都破衣烂衫的，浑身都是补丁，头上裹着围巾、胡子上结着冰，像一群大熊。,0.0754,0,0
在那种时刻他不会对我说谎。,他不作声。要不要拿点茶给你？,0.0039,0,0
你从我这儿走开。,他再也说不下去，就从铁丝网那儿走开。,0.2065,0,1
这还不行,问问不行吗,0.3103,0,0
他现在想起了那种存在于他与这个人之间的联系，此时这个人的那双肿起的眼睛正含着泪水模糊不清地望着他。,他这时想起了他同那个用含着泪水的肿起的眼睛模糊地看他的人之间的关系。,0.0,0,1
会议结束后，这些达官贵人仿佛卸下了重担似的站了起来，推开椅子，开始在大厅里走动，以便活动活动腿脚，同时顺便挽起一个人的胳膊，和他交谈起来。,我很想向诺瓦蒂埃先生证明，他对我的反感是大错特错的，而且不论他对我的成见有多深，我要用我诚挚的情意来打消它，所以我不愿意丧失这个解释的机会。,0.0916,0,0
我当过演员，自然学到了一些化装的秘诀，并曾以我的化装技巧而闻名于剧场后台。,牧师一直直挺挺地立正站在那里，原来上校忘了让他稍息了。,0.0547,0,0
楼上十二号和十三号房间，看门人回答列文。,在楼上十二号和十三号，门房回答列文的询问。,0.9368,1,1
我经说广外祖父却心平气和，就像念圣似地说:告密也、能证明己没有并密的人要先挨鞭，现:这下抽你是为桌布的半！,告密的人得先挨一顿鞭子，这一下是为了桌布打你！,0.9038,1,1
如果主计长在这一行动中胜诉，法院将发布命令，指示机构负责人出示记录。,法院将向行政机关发出指示。,0.3443,0,1
什么电视连续剧和电影好看？,请问什么电影和电视连续剧特别好看。推赞给我吧！,0.9833,1,1
他照吃他的猪排，喝他的茶，下巴碰到了天蓝色的领带，领带上别了两个钻石别针，挂着一根金链子，他笑得很怪，又温柔又暧昧，一看她的脚走湿了，就说:靠近火炉一点脚抬高点就踩磁器上吧。,看那峭立的石壁，笔直的拐角，方方正正的，可以想像礁顶肯定是一个平台。,0.0,0,0
她好像原来是雏菊，现在变成了百合花。,就好像一朵雏菊变成了一朵百合。,0.6563,1,1
但是这并没有妨碍培枇也瞧不起阿玛丽亚，其实阿玛丽亚只要瞪她一眼，就足以把这个小培枇连同她的辫子和发带统统都撵出屋子去，其速度之快是她只靠自己那两条小粗腿永远也做不到的。,可是这并不能使佩披不藐视我，甚至还想藐视阿玛丽亚，阿玛丽亚只消眼睛一瞪，就可以把她跟她所有的辫子和缎带一起撵出屋子去，比她用自己两条肥腿跑得还要快。,0.1491,0,1
你们跟我一样知道得很清楚，佩蒂小姐从来没有独自一个人住过，自从她打梅肯回来以后，白天黑夜老是怕得发抖。,他对人群喊道，还没有看清为什么围着一群人。,0.0544,0,0
这个人嘛！年轻人，请问:您能不能可是，不，让我更有力地更清楚地说一句:不是您能不能，而是您敢不敢此刻看着我，肯定地说，我不是猪猡？,他走回家去，可是到了彼得罗夫斯基岛却停住脚，浑身发软，就离开大路，走进灌木丛，在草地上躺下，一下子就睡熟了。,0.0188,0,0
客服小姐与员工谈话,那个女人正向那个男人走去。,0.0,0,1
后置摄像头黑屏,置摄像头模糊,0.0,0,0
因此你就对我上面说过的话觉得奇怪，我那时说第五重天里所包含的善，决不会有第二个与它匹敌。,在离这对恋人不远的地方，坐着一个肤色黝黑的男人，头发蓬乱，脸色阴沉，正生气地对一个没有胡子、像阉割派教徒模样的探监者说话。,0.101,0,0
他看着那颈背，那些头发。,思嘉和她父亲认真地彼此交代过:谁要是把这种搬到母亲耳边，那只会使她伤心，而无论如何他们也是犯不着这样做的。,0.0486,0,0
打开日期和时间,日期和时间,0.9775,1,0
最后，教士没有办法，只好答应了唐克拉维霍的请求，把公主嫁给了他做合法妻子。,忧伤妇人又接着说道:简单说吧，后来几经反复，公主还是坚持己见，不改初衷，于是牧师批准了克拉维霍的请求，让安东诺玛霞做了他的妻子。,0.2255,0,1
